id,title,is_paid,num_subscribers,avg_rating,num_reviews,is_wishlisted,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,created_year,created_month,published_year,published_month,Rating_recent,Actual_Price
2115450,Top Dollar Dog Trainer - The Dog Trainers Business Course,True,351,3.75,10,False,7,0,455.0,8640,2018,12,2019,1,4,8185.0
1956538,Create innovative ideas quickly using technology,True,1052,3.4,10,False,48,0,455.0,6400,2018,10,2018,10,3,5945.0
2085736,Find Your Passion and Start a Business from scratch,True,1767,3.7,10,False,17,0,455.0,8640,2018,12,2018,12,3,8185.0
1695470,Email Writing Fundamentals.,True,1013,2.9,10,False,20,0,455.0,1280,2018,5,2018,5,3,825.0
1808436,Interpreting Financial Statements,True,34,4.65,10,False,18,0,455.0,3840,2018,7,2018,7,5,3385.0
1628560,How to Conquer a Clinical Trial Easy ( 101 Basics and Tips ),True,530,3.65,10,False,5,0,455.0,1280,2018,4,2018,4,4,825.0
1628806,Jira 7 Essentials,True,77,4.0,10,False,27,0,455.0,8000,2018,4,2018,4,4,7545.0
1916630,Building A Great Freelance Profile : The Ultimate Guide,True,5000,3.25,10,False,25,0,455.0,8640,2018,9,2018,9,4,8185.0
2187348,Program Management Professional (PgMP) practice exams,True,61,3.35,10,False,0,4,455.0,2240,2019,1,2019,1,3,1785.0
1995174,Etsy Marketing and SEO Mastery for 2019,True,726,3.3,10,False,19,0,455.0,1280,2018,10,2018,10,3,825.0
